group_farm-farm_location,group_farm-farm_size,group_farm-farm_size_unit,group_farm-measurement_unit_other,group_farm-land_ownership,group_farm-land_ownership_other,group_farm-cropping_area,group_farm-cropping_area_unit,group_farm-cropping_area_other,group_farm-land_use,group_farm-land_use_other,group_soil-soil_quality,group_soil-soil_quality_indicators,group_soil-soil_types,group_soil-num_soil_types,group_soil-soil_types_description,group_soil-soil_surface,group_soil-rock_gravel,group_soil_erosion-erosion_prevalence,group_soil_erosion-erosion_type_farm,group_soil_erosion-erosion_control_measures,group_soil_erosion-erosion_control_description,group_crop_production-crop_type,group_crop_production-crop_type_other,group_crop_production-crop_production,group_crop_production-crop_production_other,group_crop_production-crop_productivity_enhance,group_crop_production-crop_productivity_other,farm_management-crop_rotation,farm_management-fallowing,farm_management-fallow_percent,farm_management-fallow_years,farm_management-burning,farm_management-crop_residue,farm_management-crop_residue_other,farm_management-farmyard_manure_use,farm_management-manure_use_crops,farm_management-compost_use,farm_management-compost_use_crops,farm_management-mulch_use,farm_management-mulch_use_crops,farm_management-chemical_fertilizer_use,farm_management-fertilizer_use_crops,farm_management-herbicide_use,farm_management-pesticide_use,PARENT_KEY,KEY,SET-OF-farm_details
2,1.0000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,Based on soil colour,0,"","",2,1,0,"","","",1 14,"",1 2 4 9 8,"",3 6,By using APCNF methods,0,0,"","",0,2 3,"",0,"",1,1 14,0,"",0,"",0,0,uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2,uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2/farm_details[1],uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2/farm_details
3,0.5000000000,2,"",4,"",0.5000000000,2,"",2,"",Medium,Based on yield obtained from the farmers,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4 8 9,"",3,"",0,0,"","",0,2 3,"",0,"",1,16,1,16,0,"",0,0,uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2,uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2/farm_details[2],uuid:d43ecac8-c2b4-476f-be4b-b3be417795a2/farm_details
2,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Ground nut,6 7 8,"",2,"",1,0,"","",0,2,"",1,16,0,"",0,"",0,"",0,0,uuid:7765d4f0-c092-48a6-921d-739587426a80,uuid:7765d4f0-c092-48a6-921d-739587426a80/farm_details[1],uuid:7765d4f0-c092-48a6-921d-739587426a80/farm_details
2,1.0000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,Based on yield,0,"","",1,1,0,"","","",1 2 9 14,"",1 2 4,"",3 6,By using APCNF methods,0,1,50.0000000000,0.5000000000,0,2,"",0,"",1,1 2 14,0,"",0,"",0,0,uuid:533b8940-893f-4b74-8f0f-93b4f81e439a,uuid:533b8940-893f-4b74-8f0f-93b4f81e439a/farm_details[1],uuid:533b8940-893f-4b74-8f0f-93b4f81e439a/farm_details
3,1.0000000000,2,"",4,"",1.0000000000,2,"",2,"",Medium,Based on yield,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4 9,"",3 4 5 6,By using APCNF methods,0,0,"","",0,2 3,"",0,"",1,15 16,1,16,0,"",0,0,uuid:533b8940-893f-4b74-8f0f-93b4f81e439a,uuid:533b8940-893f-4b74-8f0f-93b4f81e439a/farm_details[2],uuid:533b8940-893f-4b74-8f0f-93b4f81e439a/farm_details
2,1.0000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,Based on soil colour and yield,1,2,Black soil and sandy soil,1,1,0,"","","",1 2,"",1 2,"",3 6,He is using jeevamruths proposed by APCNF,0,1,100.0000000000,7.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:befa9852-6d86-4044-8c8e-670025b54465,uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details[1],uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details
2,0.5000000000,2,"",4,"",0.5000000000,2,"",1,"",Medium,Soil colour and based on yield of the crop,0,"","",1,1,0,"","","",14 16,Pippal,1 2,"",3,"",0,0,"","",0,2,"",0,"",1,14 16,0,"",0,"",0,0,uuid:befa9852-6d86-4044-8c8e-670025b54465,uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details[2],uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details
3,1.0000000000,2,"",4,"",1.0000000000,2,"",2,"",Medium,Based on yield,0,"","",1,1,0,"","","",15 16,Coffee,1 2,"",6,Using Dravajeevamrutham in rainy season,0,0,"","",0,5,Permanent crops,0,"",0,"",0,"",0,"",0,0,uuid:befa9852-6d86-4044-8c8e-670025b54465,uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details[3],uuid:befa9852-6d86-4044-8c8e-670025b54465/farm_details
1,1.5000000000,2,"",2,"",1.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato castor",6 7 8,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:8cf3f61a-bacf-4f35-9ba4-e6a46f03a2ff,uuid:8cf3f61a-bacf-4f35-9ba4-e6a46f03a2ff/farm_details[1],uuid:8cf3f61a-bacf-4f35-9ba4-e6a46f03a2ff/farm_details
1,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:3b57b011-c1b8-4d71-ab87-9d81ecb78bb9,uuid:3b57b011-c1b8-4d71-ab87-9d81ecb78bb9/farm_details[1],uuid:3b57b011-c1b8-4d71-ab87-9d81ecb78bb9/farm_details
2,1.0000000000,2,"",4,"",0.5000000000,2,"",1,"",Medium,Based on earthworms and earthworms castings present in the field,0,"","",1,2,0,"","","",1,"",1 2 4 6 7 8,"",3,"",0,1,50.0000000000,2.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:adf0d653-3f27-4833-b56e-826f8e68419c,uuid:adf0d653-3f27-4833-b56e-826f8e68419c/farm_details[1],uuid:adf0d653-3f27-4833-b56e-826f8e68419c/farm_details
3,4.0000000000,2,"",4,"",1.5000000000,2,"",1,"",Medium,Based on soil colour and porosity capacity of the soil,1,2,Red soils and black soils,1,2,1,1,3,"",2 14 11 16,Pippali,1 2 3 4 9 8,"",3,"",0,1,70.0000000000,2.0000000000,0,2,"",0,"",1,2 14 16,0,"",0,"",0,0,uuid:adf0d653-3f27-4833-b56e-826f8e68419c,uuid:adf0d653-3f27-4833-b56e-826f8e68419c/farm_details[2],uuid:adf0d653-3f27-4833-b56e-826f8e68419c/farm_details
2,1.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16,0,"",0,"",0,"",0,0,uuid:d5b0244c-756b-4905-9727-570ebb4c9ad3,uuid:d5b0244c-756b-4905-9727-570ebb4c9ad3/farm_details[1],uuid:d5b0244c-756b-4905-9727-570ebb4c9ad3/farm_details
2,1.0000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,Based on yield,0,"","",2,1,0,"","","",1 2 9 14 10,"",1 2 3 4,"",3 4,"",0,1,50.0000000000,0.5000000000,0,2,"",0,"",1,1 2 14,0,"",0,"",0,0,uuid:3082abab-5f66-4214-9395-2406586cae4d,uuid:3082abab-5f66-4214-9395-2406586cae4d/farm_details[1],uuid:3082abab-5f66-4214-9395-2406586cae4d/farm_details
3,0.5000000000,2,"",4,"",1.5000000000,2,"",2,"",Low,Based on yield,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4,"",3 4 5 6,By using APCNF methods,0,0,"","",0,2 3,"",0,"",0,"",0,"",0,"",0,0,uuid:3082abab-5f66-4214-9395-2406586cae4d,uuid:3082abab-5f66-4214-9395-2406586cae4d/farm_details[2],uuid:3082abab-5f66-4214-9395-2406586cae4d/farm_details
2,1.5000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,"Based on earthworms/ organisms present in the soil. If the earthworms are more in number, then the soil fertility is more. 
Based on colour of the soil",0,"","",2,1,0,"","","",1 14,"",1 2 4,"",3 6,By using APCNF methods,1,1,50.0000000000,0.5000000000,0,2 3,"",0,"",1,1 14,0,"",0,"",0,0,uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c,uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c/farm_details[1],uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c/farm_details
3,0.6500000000,2,"",4,"",0.6500000000,2,"",2,"",Medium,Based on yield obtained from the crop,0,"","",2,2,0,"","","",16 15,Coffee,1 4 2 8 9,"",3 6,Applying jeevamrutham in the rainy season,0,0,"","",0,2 3,"",0,"",1,16 15,1,15 16,0,"",0,0,uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c,uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c/farm_details[2],uuid:ff1c43f6-da66-4a2a-bd5c-b0243ecb4c3c/farm_details
2,0.8000000000,2,"",4,"",0.4000000000,2,"",1,"",Medium,Based on earthworms and earthworms castings present in the field,1,2,Black soils; Red soils,1,2,1,1,3,"",1,"",1 2 3 4 6 7,"",3,"",0,1,50.0000000000,1.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:7a258f14-6b74-4b72-987b-709ef273ddad,uuid:7a258f14-6b74-4b72-987b-709ef273ddad/farm_details[1],uuid:7a258f14-6b74-4b72-987b-709ef273ddad/farm_details
3,2.2000000000,2,"",4,"",1.5000000000,2,"",1,"",Medium,Based on the soil colour and porosity capacity of the soil,1,2,Black soils; red soils,1,2,1,1,3,"",2 5 14 16,"Pippali, niger",1 2 3 4 8,"",3,"",1,1,40.0000000000,1.0000000000,0,2,"",0,"",1,2 14 16,0,"",0,"",0,0,uuid:7a258f14-6b74-4b72-987b-709ef273ddad,uuid:7a258f14-6b74-4b72-987b-709ef273ddad/farm_details[2],uuid:7a258f14-6b74-4b72-987b-709ef273ddad/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil organisms,0,"","",2,2,0,"","","",16,Groundnut,7 6 8,"",2 6,"Jeevamrutam,ghanajeevanrutam",1,0,"","",0,5,Incorporating into the field,1,16,0,"",0,"",0,"",0,0,uuid:d69cafa2-64bf-416c-bb28-71446f989717,uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details[1],uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details
2,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil organisms,0,"","",2,2,0,"","","",16,Tomato,6 7 8,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,5,Incorporating into the field,1,16,0,"",0,"",0,"",0,0,uuid:d69cafa2-64bf-416c-bb28-71446f989717,uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details[2],uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details
2,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Soil organisms,0,"","",2,2,0,"","","",1,"",6 7 8,"",1 2,"",0,0,"","",1,5 4 1,Nothing,1,1,0,"",0,"",1,1,0,1,uuid:d69cafa2-64bf-416c-bb28-71446f989717,uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details[3],uuid:d69cafa2-64bf-416c-bb28-71446f989717/farm_details
2,20.0000000000,4,Cents,6,"",1.0000000000,2,"",1,"",Medium,Depending on the yield and use of pmds,0,"","",2,1,0,"","","",1,"",2 11,Strong winds,2 3,"",1,0,"","",0,4,"",1,1,1,1,0,"",0,"",0,0,uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f,uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f/farm_details[1],uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f/farm_details
2,80.0000000000,4,Cents,6,"",1.0000000000,2,"",1,"",Medium,Because of yield,0,"","",2,1,0,"","","",1,"",2 11,Strong winds,1 5,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,1,1,uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f,uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f/farm_details[2],uuid:894016d7-8664-4b90-81bd-ad6ba18c0d6f/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:f099a9c6-b396-4c15-9975-745fb90c01ca,uuid:f099a9c6-b396-4c15-9975-745fb90c01ca/farm_details[1],uuid:f099a9c6-b396-4c15-9975-745fb90c01ca/farm_details
2,2.0000000000,2,"",3,"",1.5000000000,2,"",1,"",Medium,Based on soil colour,0,"","",2,1,0,"","","",1 2 10 14,"",1 2 3 4,"",3,"",0,0,"","",0,2 3,"",0,"",1,1,0,"",0,"",0,0,uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7,uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7/farm_details[1],uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7/farm_details
3,1.0000000000,2,"",4,"",0.5000000000,2,"",2,"",Medium,Based on yield obtained from the farmers,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4 8 9,"",3,"",0,1,50.0000000000,2.0000000000,0,2 3,"",0,"",1,16,0,"",0,"",0,0,uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7,uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7/farm_details[2],uuid:2ab61ec1-0c3f-40bb-9073-bb78b02800b7/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato,6 7,"",2 1,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:97c6c214-5228-448b-8903-90370ebc2d7d,uuid:97c6c214-5228-448b-8903-90370ebc2d7d/farm_details[1],uuid:97c6c214-5228-448b-8903-90370ebc2d7d/farm_details
2,0.8000000000,4,Cents,4,"",0.4000000000,2,"",1,"",Medium,Based on earthworms and earthworms castings present in the field,0,"","",1,2,0,"","","",1,"",1 2 4 6 7,"",3,"",0,1,50.0000000000,1.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0,uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0/farm_details[1],uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0/farm_details
3,2.2000000000,2,"",4,"",1.5000000000,2,"",1,"",Medium,Based on soil colour and porosity of the soil,1,2,Black and red type soils,1,2,1,1,3,"",2 14 16,Pippali,1 2 3 4 8,"",3,"",1,1,50.0000000000,1.0000000000,0,2,"",0,"",1,2,0,"",0,"",0,0,uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0,uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0/farm_details[2],uuid:5619b429-e0ed-40fd-8c40-dadeaf5c43c0/farm_details
2,2.0000000000,2,"",4,"",1.5000000000,2,"",1,"",Medium,Based on the soil colour and porosity capacity of the soil,1,2,Black and red soils,1,2,1,1,3,"",2 14 16,"Little millet, pippali",1 2 3 4 6 7 9,"",3,"",1,1,20.0000000000,1.0000000000,0,2,"",0,"",1,2 14,0,"",0,"",0,0,uuid:b9e839e1-d605-4991-b926-7fc65a56512e,uuid:b9e839e1-d605-4991-b926-7fc65a56512e/farm_details[1],uuid:b9e839e1-d605-4991-b926-7fc65a56512e/farm_details
2,0.9000000000,4,Cents,4,"",0.4000000000,4,Cents,1,"",Medium,Based on the earthworms and earthworms castings present in the field,0,"","",2,2,0,"","","",1,"",1 2 6 7,"",3,"",0,1,50.0000000000,1.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:b9e839e1-d605-4991-b926-7fc65a56512e,uuid:b9e839e1-d605-4991-b926-7fc65a56512e/farm_details[2],uuid:b9e839e1-d605-4991-b926-7fc65a56512e/farm_details
1,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:3aebd60b-59e7-4367-a3a9-0409182e32d6,uuid:3aebd60b-59e7-4367-a3a9-0409182e32d6/farm_details[1],uuid:3aebd60b-59e7-4367-a3a9-0409182e32d6/farm_details
2,0.5000000000,2,"",1,"",4.8000000000,2,"",1,"",Medium,Soil texture,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",2,"",1,0,"","",0,4,"",1,1,0,"",0,"",0,"",0,0,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details[1],uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details
2,3.5000000000,2,"",6,"",4.8000000000,2,"",1,"",Medium,Soil texture,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",1 2,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,1,1,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details[2],uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details
2,0.8000000000,2,"",6,"",4.8000000000,2,"",1,"",Medium,Soil texture,0,"","",2,1,0,"","","",16,Lemon and banana,6 7 8,"",1 2,"",0,0,"","",0,2,"",1,16,0,"",0,"",1,16,0,1,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b,uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details[3],uuid:f63295a7-5380-4f3f-8b4a-891cd7094f2b/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,1,25.0000000000,0.4000000000,0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:4e6fd637-d70b-4ac6-9e69-fbbaf41ad104,uuid:4e6fd637-d70b-4ac6-9e69-fbbaf41ad104/farm_details[1],uuid:4e6fd637-d70b-4ac6-9e69-fbbaf41ad104/farm_details
2,2.0000000000,2,"",4,"",1.0000000000,2,"",1,"",Medium,Based on yield obtained,0,"","",2,1,0,"","","",1 2 14,"",1 2 4,"",3,"",0,1,50.0000000000,0.5000000000,0,2,"",0,"",1,1 2 14,0,"",0,"",0,0,uuid:56e3136f-1449-4662-935e-2b6a643767ec,uuid:56e3136f-1449-4662-935e-2b6a643767ec/farm_details[1],uuid:56e3136f-1449-4662-935e-2b6a643767ec/farm_details
3,0.5000000000,2,"",4,"",0.5000000000,2,"",2,"",Medium,Based on yield obtained from the previous year,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4 8,"",3 4 5 6,By applying jeevamrutham in the rainy season,0,0,"","",0,2 3,"",0,"",1,16,1,16,0,"",0,0,uuid:56e3136f-1449-4662-935e-2b6a643767ec,uuid:56e3136f-1449-4662-935e-2b6a643767ec/farm_details[2],uuid:56e3136f-1449-4662-935e-2b6a643767ec/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Castor, Ground nut, tomato",6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:bc4c3c41-69a9-44cc-9ac1-384714ea71ea,uuid:bc4c3c41-69a9-44cc-9ac1-384714ea71ea/farm_details[1],uuid:bc4c3c41-69a9-44cc-9ac1-384714ea71ea/farm_details
1,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Low,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato,7 6,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:190d485d-c449-4b68-8208-5b1016f2faa0,uuid:190d485d-c449-4b68-8208-5b1016f2faa0/farm_details[1],uuid:190d485d-c449-4b68-8208-5b1016f2faa0/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,"Tomato, groundnut, castor",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:0f3db2ba-6fea-4ceb-bf0b-6998a5b9c640,uuid:0f3db2ba-6fea-4ceb-bf0b-6998a5b9c640/farm_details[1],uuid:0f3db2ba-6fea-4ceb-bf0b-6998a5b9c640/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Tomato,6 7,"",2 3,"",1,0,"","",0,2,"",1,16,1,16,0,"",0,"",0,0,uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2,uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2/farm_details[1],uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2/farm_details
2,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Ground nut,6 7,"",2 3,"",1,0,"","",0,2,"",1,16,1,16,0,"",0,"",0,0,uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2,uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2/farm_details[2],uuid:835456a8-20b3-4aaf-9e37-c30d49a716d2/farm_details
1,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato,6 7,"",2 1,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:a25b3877-b23f-40ef-b8b5-092eda1c9f81,uuid:a25b3877-b23f-40ef-b8b5-092eda1c9f81/farm_details[1],uuid:a25b3877-b23f-40ef-b8b5-092eda1c9f81/farm_details
